Disease,Drug
Facial Wrinkles,azficel-t
Facial Wrinkles,incobotulinumtoxinA
Capecitabine Overdose,uridine
Capillariasis,mebendazole
Capillariasis,albendazole
Cryopyrin-Associated Periodic Syndromes,rilonacept
Cryopyrin-Associated Periodic Syndromes,anakinra
Cryopyrin-Associated Periodic Syndromes,canakinumab
Cytokine Release Syndrome,tocilizumab
Skin or Soft Tissue Infection,cephalexin
Skin or Soft Tissue Infection,clindamycin
Skin or Soft Tissue Infection,doxycycline
Skin or Soft Tissue Infection,amoxicillin
Skin or Soft Tissue Infection,ciprofloxacin
Skin or Soft Tissue Infection,amoxicillin / clavulanate
Skin or Soft Tissue Infection,minocycline
Skin or Soft Tissue Infection,azithromycin
Skin or Soft Tissue Infection,metronidazole
Skin or Soft Tissue Infection,clarithromycin
Skin or Soft Tissue Infection,dicloxacillin
Skin or Soft Tissue Infection,levofloxacin
Skin or Soft Tissue Infection,erythromycin
Skin or Soft Tissue Infection,cefdinir
Carcinoid Syndrome,lanreotide
Carcinoid Syndrome Diarrhea,telotristat
Carcinoid Tumor,octreotide
Cardiac Arrest,epinephrine
Cardiac Arrhythmia,isoproterenol
Echocardiography,perflutren
Cardiomyopathy Prophylaxis,dexrazoxane
Hypertrophic Cardiomyopathy,nifedipine
Cardiothoracic Surgery,allopurinol
Cardiovascular Risk Reduction,simvastatin
Cardiovascular Risk Reduction,ramipril
Cardiovascular Risk Reduction,telmisartan
Cardiovascular Risk Reduction,empagliflozin
Cardiovascular Risk Reduction,liraglutide
Cardiovascular Risk Reduction,alirocumab
Cardiovascular Risk Reduction,evolocumab
Cardiovascular Risk Reduction,canagliflozin / metformin
Cardiovascular Risk Reduction,rivaroxaban
Cardiovascular Risk Reduction,canagliflozin
Cardiovascular Risk Reduction,icosapent
Cardiovascular Risk Reduction,semaglutide
Carnitine Deficiency,levocarnitine
Carpal Tunnel Syndrome,gabapentin
Carpal Tunnel Syndrome,triamcinolone
Multicentric Castleman’s Disease,siltuximab
Cataplexy,venlafaxine
Cataplexy,sodium oxybate
Schizophrenia,risperidone
Schizophrenia,clozapine
Schizophrenia,olanzapine
Schizophrenia,quetiapine
Schizophrenia,aripiprazole
Schizophrenia,chlorpromazine
Schizophrenia,paliperidone
Schizophrenia,ziprasidone
Schizophrenia,loxapine
Reflex Sympathetic Dystrophy Syndrome,gabapentin
Reflex Sympathetic Dystrophy Syndrome,trazodone
Reflex Sympathetic Dystrophy Syndrome,amitriptyline
Reflex Sympathetic Dystrophy Syndrome,nortriptyline
Reflex Sympathetic Dystrophy Syndrome,milnacipran
Reflex Sympathetic Dystrophy Syndrome,pregabalin
Reflex Sympathetic Dystrophy Syndrome,doxepin
Reflex Sympathetic Dystrophy Syndrome,carbamazepine
Celiac Disease,infliximab
Diabetes Insipidus,hydrochlorothiazide
Diabetes Insipidus,desmopressin
Diabetes Insipidus,vasopressin
Cerebral Arteriography,iodixanol
Cerebral Arteriography,ioversol
Cerebral Arteriography,iohexol
Cerebral Arteriography,iopromide
Cerebral Edema,dexamethasone
Cerebral Edema,mannitol
Cerebral Spasticity,baclofen
Cerebral Spasticity,trihexyphenidyl
Cerebral Thrombosis/Embolism,ticlopidine
Ischemic Stroke,clopidogrel
Ischemic Stroke,aspirin
Ischemic Stroke,alteplase
Ischemic Stroke,nimodipine
Cerebrovascular Insufficiency,isoxsuprine
Ear Wax Impaction,carbamide peroxide
Cervical Dystonia (Spasmodic Torticollis),baclofen
Cervical Dystonia (Spasmodic Torticollis),lorazepam
Cervical Dystonia (Spasmodic Torticollis),onabotulinumtoxinA
Cervical Dystonia (Spasmodic Torticollis),abobotulinumtoxinA
Cervical Dystonia (Spasmodic Torticollis),rimabotulinumtoxinB
Cervical Dystonia (Spasmodic Torticollis),incobotulinumtoxinA
Radiculopathy,naproxen
Radiculopathy,ibuprofen
Cervical Ripening,misoprostol
Cervicitis,azithromycin
Cervicitis,doxycycline
Cervicitis,ofloxacin
Cesarean Section,cefotaxime
Cesarean Section,bupivacaine
Cesarean Section,ropivacaine
Cesarean Section,cefotetan
Cesarean Section,cefoxitin
Cesarean Section,piperacillin
Chancroid,azithromycin
Chancroid,ciprofloxacin
Chancroid,erythromycin
Chancroid,ceftriaxone
Chancroid,doxycycline
Menopausal Disorders,esterified estrogens / methyltestosterone
Menopausal Disorders,estradiol / progesterone
Muscle Spasm (Involuntary Hypertonicity),cyclobenzaprine
Muscle Spasm (Involuntary Hypertonicity),tizanidine
Muscle Spasm (Involuntary Hypertonicity),baclofen
Muscle Spasm (Involuntary Hypertonicity),methocarbamol
Muscle Spasm (Involuntary Hypertonicity),diazepam
Muscle Spasm (Involuntary Hypertonicity),carisoprodol
Muscle Spasm (Involuntary Hypertonicity),metaxalone
Muscle Spasm (Involuntary Hypertonicity),chlorzoxazone
Muscle Spasm (Involuntary Hypertonicity),orphenadrine
Muscle Spasm (Involuntary Hypertonicity),aspirin / caffeine / orphenadrine
Muscle Spasm (Involuntary Hypertonicity),aspirin / carisoprodol
Muscle Spasm (Involuntary Hypertonicity),aspirin / carisoprodol / codeine
Chemotherapy Toxicity,amifostine
Heart Failure (Congestive Heart Failure),furosemide
Heart Failure (Congestive Heart Failure),carvedilol
Heart Failure (Congestive Heart Failure),spironolactone
Heart Failure (Congestive Heart Failure),lisinopril
Heart Failure (Congestive Heart Failure),digoxin
Heart Failure (Congestive Heart Failure),metoprolol
Heart Failure (Congestive Heart Failure),isosorbide mononitrate
Heart Failure (Congestive Heart Failure),amlodipine
Heart Failure (Congestive Heart Failure),warfarin
Heart Failure (Congestive Heart Failure),hydralazine
Chiari Malformation,acetaminophen
Varicella-Zoster,acyclovir
Varicella-Zoster,valacyclovir
Varicella-Zoster,varicella zoster immune globulin
Varicella-Zoster,immune globulin intramuscular
Varicella-Zoster,foscarnet
Chlamydia Infection,azithromycin
Chlamydia Infection,doxycycline
Chlamydia Infection,amoxicillin
Chlamydia Infection,erythromycin
Chlamydia Infection,tetracycline
Chlamydia Infection,levofloxacin
Nongonococcal Urethritis,azithromycin
Nongonococcal Urethritis,doxycycline
Nongonococcal Urethritis,erythromycin
Nongonococcal Urethritis,levofloxacin
Nongonococcal Urethritis,clarithromycin
Nongonococcal Urethritis,metronidazole
Cholecystitis,cefazolin
Cholecystitis,cefoxitin
Cholecystitis,cefotetan
Cholera,ciprofloxacin
Cholera,doxycycline
Cholera,chloramphenicol
Cholera,minocycline
Cholera Prophylaxis,"cholera vaccine, live"
Hyperbilirubinemia,phenobarbital
High Cholesterol,atorvastatin
High Cholesterol,simvastatin
High Cholesterol,pravastatin
High Cholesterol,rosuvastatin
High Cholesterol,lovastatin
High Cholesterol,ezetimibe
High Cholesterol,gemfibrozil
High Cholesterol,niacin
High Cholesterol,ezetimibe / simvastatin
High Cholesterol,fenofibric acid
Choriocarcinoma,methotrexate
Choriocarcinoma,vinblastine
Chorioditis,triamcinolone
Chorioditis,corticotropin
Chorioditis,cortisone
Trophoblastic Disease,methotrexate
Trophoblastic Disease,dinoprostone
Trophoblastic Disease,dactinomycin
Chorioretinitis,prednisone
Chorioretinitis,dexamethasone
Chorioretinitis,triamcinolone
Chorioretinitis,cortisone
Chorioretinitis,corticotropin
Factor IX Deficiency,tranexamic acid
Factor IX Deficiency,coagulation factor ix
Factor IX Deficiency,factor ix complex
Chromomycosis,ketoconazole
Chronic Active Hepatitis,azathioprine
Dementia,haloperidol
Dementia,ergoloid mesylates
Chronic Central Venous Catheterization,warfarin
Cough,benzonatate
Cough,guaifenesin
Cough,codeine / guaifenesin
Cough,dextromethorphan
Cough,codeine / promethazine
Cough,diphenhydramine
Cough,homatropine / hydrocodone
Cough,dextromethorphan / guaifenesin
Cough,chlorpheniramine / hydrocodone
Cough,acetaminophen / hydrocodone
Cough,dextromethorphan / promethazine
New Daily Persistent Headache,sumatriptan
New Daily Persistent Headache,levetiracetam
Persistent Depressive Disorder,bupropion
Persistent Depressive Disorder,sertraline
Persistent Depressive Disorder,duloxetine
Persistent Depressive Disorder,citalopram
Persistent Depressive Disorder,amitriptyline
Persistent Depressive Disorder,fluoxetine
Persistent Depressive Disorder,paroxetine
Persistent Depressive Disorder,fluvoxamine
"Diarrhea, Chronic",loperamide
"Diarrhea, Chronic",colesevelam
"Diarrhea, Chronic",bismuth subsalicylate
"Diarrhea, Chronic",atropine / difenoxin
Chronic Granulomatous Disease,interferon gamma-1b
Hepatitis B,entecavir
Hepatitis B,tenofovir
Hepatitis B,lamivudine
Hepatitis B,adefovir
Hepatitis B,tenofovir alafenamide
Hepatitis B,interferon alfa-2b
Hepatitis B,peginterferon alfa-2a
Hepatitis B,peginterferon alfa-2b
Hepatitis C,ribavirin
Hepatitis C,ledipasvir / sofosbuvir
Hepatitis C,sofosbuvir
Hepatitis C,sofosbuvir / velpatasvir
Hepatitis C,peginterferon alfa-2a
Hepatitis C,dasabuvir / ombitasvir / paritaprevir / ritonavir
Hepatitis C,elbasvir / grazoprevir
Hepatitis C,interferon alfa-2b
Hepatitis C,peginterferon alfa-2b
Hepatitis C,glecaprevir / pibrentasvir
Hepatitis C,sofosbuvir / velpatasvir / voxilaprevir
Chronic Idiopathic Constipation,plecanatide
Chronic Idiopathic Constipation,prucalopride
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,azathioprine
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,immune globulin intravenous
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,immune globulin intravenous and subcutaneous
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,interferon beta-1b
Chronic Inflammatory Demyelinating Polyradiculoneuropathy,immune globulin subcutaneous
Lyme Disease,doxycycline
Lyme Disease,cefuroxime
Lyme Disease,ceftriaxone
Lyme Disease,erythromycin
Lyme Disease,cefotaxime
Hashimoto's disease (Chronic Lymphocytic Thyroiditis),levothyroxine
Hashimoto's disease (Chronic Lymphocytic Thyroiditis),thyroid desiccated
Chronic Otitis Media,colistin sulfate / hydrocortisone / neomycin / thonzonium bromide
Tic Disorder,risperidone
Chronic Mucocutaneous Candidiasis,fluconazole
Chronic Mucocutaneous Candidiasis,ketoconazole
Chronic Myofascial Pain,cyclobenzaprine
Chronic Myofascial Pain,amitriptyline
Chronic Myofascial Pain,clonazepam
Chronic Myofascial Pain,ibuprofen
Chronic Myofascial Pain,naproxen
"COPD, Acute",albuterol
"COPD, Acute",azithromycin
"COPD, Acute",epinephrine
"COPD, Acute",levalbuterol
"COPD, Acute",ephedrine
"COPD, Acute",isoproterenol
"COPD, Maintenance",albuterol
"COPD, Maintenance",albuterol / ipratropium
"COPD, Maintenance",ipratropium
"COPD, Maintenance",tiotropium
"COPD, Maintenance",fluticasone / salmeterol
"COPD, Maintenance",budesonide / formoterol
"COPD, Maintenance",levalbuterol
Postural Orthostatic Tachycardia Syndrome,midodrine
Postural Orthostatic Tachycardia Syndrome,fludrocortisone
Postural Orthostatic Tachycardia Syndrome,sodium chloride
Postural Orthostatic Tachycardia Syndrome,clonidine
Postural Orthostatic Tachycardia Syndrome,methylphenidate
Postural Orthostatic Tachycardia Syndrome,bupropion
Postural Orthostatic Tachycardia Syndrome,labetalol
Postural Orthostatic Tachycardia Syndrome,octreotide
Chronic Pain,oxycodone
Chronic Pain,tramadol
Chronic Pain,acetaminophen / oxycodone
Chronic Pain,hydromorphone
Chronic Pain,morphine
Chronic Pain,methadone
Chronic Pain,buprenorphine
Chronic Pain,duloxetine
Chronic Pain,fentanyl
Chronic Pancreatitis,pancrelipase
Chronic Pancreatitis,pancreatin
Prostatitis,ciprofloxacin
Prostatitis,doxycycline
Prostatitis,oxybutynin
Prostatitis,levofloxacin
Prostatitis,sulfamethoxazole / trimethoprim
Prostatitis,cephalexin
Prostatitis,moxifloxacin
Prostatitis,ofloxacin
Renal Failure,furosemide
Renal Failure,torsemide
Renal Failure,ethacrynic acid
Chronic Rhinosinusitis with Nasal Polyps,dupilumab
Chronic Spasticity,baclofen
Chronic Spasticity,dantrolene
Chronic Spasticity,onabotulinumtoxinA
Eosinophilic Granulomatosis with Polyangiitis,mepolizumab
Systemic Sclerosis,methotrexate
Systemic Sclerosis,prednisone
Systemic Sclerosis,cyclophosphamide
Systemic Sclerosis,tocilizumab
Neuronal Ceroid Lipofuscinosis,cerliponase alfa
Major Depressive Disorder,bupropion
Major Depressive Disorder,sertraline
Major Depressive Disorder,trazodone
Major Depressive Disorder,venlafaxine
Major Depressive Disorder,fluoxetine
Major Depressive Disorder,mirtazapine
Major Depressive Disorder,duloxetine
Major Depressive Disorder,escitalopram
Liver Fluke (Clornorchis sinensis),albendazole
Liver Fluke (Clornorchis sinensis),praziquantel
Prevention of Clostridioides difficile Infection Recurrence,bezlotoxumab
Closure of Colostomy,fibrin sealant
Cluster Headaches,tizanidine
Cluster Headaches,sumatriptan
Cluster Headaches,verapamil
Cluster Headaches,indomethacin
Cluster Headaches,prednisone
Cluster Headaches,dihydroergotamine
Cluster Headaches,caffeine / ergotamine
Cluster Headaches,cyproheptadine
Cluster Headaches,lithium
Cluster Headaches,zolmitriptan
Cluster-Tic Syndrome,clonazepam
Cluster-Tic Syndrome,gabapentin
Cluster-Tic Syndrome,carbamazepine
Cluster-Tic Syndrome,baclofen
Cluster-Tic Syndrome,valproic acid
Cluster-Tic Syndrome,phenytoin
CMV Gastroenteritis,foscarnet
CMV Infection,ganciclovir
CMV Prophylaxis,valacyclovir
CMV Prophylaxis,valganciclovir
CMV Prophylaxis,ganciclovir
CMV Prophylaxis,cytomegalovirus immune globulin
CMV Prophylaxis,letermovir
CMV Retinitis,valganciclovir
CMV Retinitis,ganciclovir
CMV Retinitis,foscarnet
CMV Retinitis,cidofovir
CNS Magnetic Resonance Imaging,gadopentetate dimeglumine
CNS Magnetic Resonance Imaging,gadobutrol
CNS Magnetic Resonance Imaging,gadoteridol
CNS Magnetic Resonance Imaging,gadodiamide
CNS Magnetic Resonance Imaging,gadobenate dimeglumine
CNS Magnetic Resonance Imaging,gadoterate meglumine
Coccidioidomycosis,fluconazole
Coccidioidomycosis,itraconazole
Coccidioidomycosis,ketoconazole
Coccidioidomycosis,amphotericin b
Coccidioidomycosis,amphotericin b lipid complex
"Coccidioidomycosis, Meningitis",fluconazole
"Coccidioidomycosis, Meningitis",voriconazole
"Coccidioidomycosis, Meningitis",amphotericin b
Cogan's Syndrome,methotrexate
Cogan's Syndrome,prednisone
Cogan's Syndrome,cyclosporine
Cogan's Syndrome,infliximab
Cogan's Syndrome,azathioprine
Cogan's Syndrome,etanercept
Cogan's Syndrome,cyclophosphamide
Cogan's Syndrome,mycophenolate mofetil
Cold Symptoms,diphenhydramine
Cold Symptoms,chlorpheniramine
Cold Symptoms,acetaminophen / chlorpheniramine / phenylephrine
Cold Symptoms,pseudoephedrine / triprolidine
Cold Sores (Herpes Simplex Labialis),valacyclovir
Cold Sores (Herpes Simplex Labialis),acyclovir
Cold Sores (Herpes Simplex Labialis),famciclovir
Cold Sores (Herpes Simplex Labialis),benzocaine
Cold Sores (Herpes Simplex Labialis),acyclovir / hydrocortisone
Cold Sores (Herpes Simplex Labialis),penciclovir
Cold Sores (Herpes Simplex Labialis),tetracaine
Cold Sores (Herpes Simplex Labialis),benzyl alcohol
Noninfectious Colitis,dicyclomine
Noninfectious Colitis,belladonna
Ulcerative Colitis,mesalamine
Ulcerative Colitis,azathioprine
Ulcerative Colitis,sulfasalazine
Ulcerative Colitis,balsalazide
Ulcerative Colitis,budesonide
Ulcerative Colitis,hydrocortisone
Ulcerative Colitis,infliximab
Ulcerative Colitis,clonidine
Ichthyosis,ammonium lactate
Warts,salicylic acid
Warts,fluorouracil
Warts,silver nitrate
Warts,cantharidin
Skin and Structure Infection,mupirocin
Skin and Structure Infection,amoxicillin / clavulanate
Skin and Structure Infection,azithromycin
Skin and Structure Infection,gentamicin
Skin and Structure Infection,ciprofloxacin
Skin and Structure Infection,minocycline
Skin and Structure Infection,cefdinir
Skin and Structure Infection,cefuroxime
Skin and Structure Infection,clarithromycin
Skin and Structure Infection,linezolid
Skin and Structure Infection,cefadroxil
Skin and Structure Infection,meropenem
Skin and Structure Infection,ceftriaxone
Computed Tomography,barium sulfate
Computed Tomography,iodixanol
Condylomata Acuminata,imiquimod
Condylomata Acuminata,podofilox
Condylomata Acuminata,sinecatechins
Condylomata Acuminata,interferon alfa-2b
Condylomata Acuminata,interferon alfa-n3
Congenital Fibrinogen Deficiency,fibrinogen
Herpes Simplex - Congenital,acyclovir
Myotonia Congenita,mexiletine
Myotonia Congenita,phenytoin
Myotonia Congenita,procainamide
Nephrotic Syndrome,prednisone
Nephrotic Syndrome,mycophenolate mofetil
Nephrotic Syndrome,prednisolone
Nephrotic Syndrome,cyclophosphamide
Nephrotic Syndrome,cyclosporine
Nephrotic Syndrome,triamcinolone
Nephrotic Syndrome,hydrochlorothiazide / spironolactone
Nephrotic Syndrome,azathioprine
Nephrotic Syndrome,cortisone
Nephrotic Syndrome,tacrolimus
Congenital Syphilis,penicillin g benzathine
Congenital Syphilis,penicillin g potassium
Congenital Syphilis,procaine penicillin
Congenital Syphilis,penicillin g sodium
Conjunctivitis,sulfacetamide sodium
Conjunctivitis,dexamethasone
Conjunctivitis,diclofenac
Conjunctivitis,loteprednol
Conjunctivitis,gatifloxacin
Conjunctivitis,triamcinolone
Conjunctivitis,ceftriaxone
Conjunctivitis,lodoxamide
Conjunctivitis,cortisone
Constipation,docusate
Constipation,polyethylene glycol 3350
Constipation,bisacodyl
Constipation,magnesium oxide
Constipation,magnesium citrate
Constipation,psyllium
Constipation,linaclotide
Constipation,magnesium hydroxide
"Constipation, Acute",lactulose
"Constipation, Acute",docusate / senna
"Constipation, Acute",polyethylene glycol 3350
"Constipation, Chronic",lactulose
"Constipation, Chronic",linaclotide
"Constipation, Chronic",polyethylene glycol 3350 with electrolytes
"Constipation, Chronic",colchicine
"Constipation, Chronic",lubiprostone
"Constipation, Chronic",methylnaltrexone
"Constipation, Chronic",tegaserod
"Constipation, Chronic",naloxegol
"Constipation, Drug Induced",lubiprostone
"Constipation, Drug Induced",methylnaltrexone
"Constipation, Drug Induced",naloxegol
Opioid-Induced Constipation,naloxegol
Opioid-Induced Constipation,lubiprostone
Opioid-Induced Constipation,methylnaltrexone
Opioid-Induced Constipation,naldemedine
Induced Hypotension,nitroprusside
Neurosis,nortriptyline
Corneal Cystine Crystal Accumulation,cysteamine
Corneal Refractive Surgery,ketorolac
Corneal Refractive Surgery,riboflavin
Corneal Ulcer,ciprofloxacin
Corneal Ulcer,ofloxacin
Corneal Ulcer,prednisone
Corneal Ulcer,diclofenac
Corneal Ulcer,levofloxacin
Coronary Arteriography,iodixanol
Coronary Arteriography,iopromide
Coronary Arteriography,ioversol
Costochondritis,ibuprofen
Costochondritis,naproxen
Costochondritis,lidocaine
Cough and Nasal Congestion,brompheniramine / dextromethorphan / pseudoephedrine
Cough and Nasal Congestion,guaifenesin / pseudoephedrine
Cough and Nasal Congestion,dextromethorphan / guaifenesin / phenylephrine
Cough and Nasal Congestion,guaifenesin / phenylephrine
Cough and Nasal Congestion,chlorpheniramine / hydrocodone / pseudoephedrine
Cough and Nasal Congestion,codeine / phenylephrine / promethazine
Scleroderma,methotrexate
Scleroderma,prednisone
Scleroderma,cyclophosphamide
Crohn's Disease,azathioprine
Crohn's Disease,mesalamine
Crohn's Disease,budesonide
Crohn's Disease,sulfasalazine
Crohn's Disease,hyoscyamine
Crohn's Disease,cholestyramine
Crohn's Disease,infliximab
Crohn's Disease,adalimumab
Crohn's Disease,vedolizumab
Crohn's Disease,rifaximin
Crohn's Disease,certolizumab
Crohn's Disease,cyclosporine
Crohn's Disease,tacrolimus
Crohn's Disease,ustekinumab
Crohn's Disease,mycophenolate mofetil
"Crohn's Disease, Acute",mercaptopurine
"Crohn's Disease, Acute",metronidazole
"Crohn's Disease, Acute",azathioprine
"Crohn's Disease, Acute",budesonide
"Crohn's Disease, Acute",prednisone
"Crohn's Disease, Acute",sulfasalazine
"Crohn's Disease, Acute",adalimumab
"Crohn's Disease, Acute",infliximab
"Crohn's Disease, Acute",ciprofloxacin
"Crohn's Disease, Acute",prednisolone
"Crohn's Disease, Acute",dexamethasone
"Crohn's Disease, Acute",certolizumab
"Crohn's Disease, Acute",hydrocortisone
"Crohn's Disease, Acute",betamethasone
"Crohn's Disease, Maintenance",mercaptopurine
"Crohn's Disease, Maintenance",mesalamine
"Crohn's Disease, Maintenance",azathioprine
"Crohn's Disease, Maintenance",metronidazole
"Crohn's Disease, Maintenance",budesonide
"Crohn's Disease, Maintenance",sulfasalazine
"Crohn's Disease, Maintenance",infliximab
"Crohn's Disease, Maintenance",adalimumab
"Crohn's Disease, Maintenance",certolizumab
"Crohn's Disease, Maintenance",vedolizumab
"Crohn's Disease, Maintenance",natalizumab
Croup,dexamethasone
Crow's Feet,onabotulinumtoxinA
"Cryptococcal Meningitis, Immunocompetent Host",fluconazole
"Cryptococcal Meningitis, Immunocompetent Host",flucytosine
"Cryptococcal Meningitis, Immunocompetent Host",amphotericin b
"Cryptococcal Meningitis, Immunosuppressed Host",fluconazole
"Cryptococcal Meningitis, Immunosuppressed Host",amphotericin b
"Cryptococcal Meningitis, Immunosuppressed Host",flucytosine
"Cryptococcal Meningitis, Immunosuppressed Host",itraconazole
"Cryptococcal Meningitis, Immunosuppressed Host",amphotericin b liposomal
Cryptococcosis,fluconazole
Cryptococcosis,amphotericin b
Cryptococcosis,flucytosine
Cryptococcosis,amphotericin b liposomal
Cryptococcosis,itraconazole
Cryptococcosis,amphotericin b lipid complex
Cryptosporidiosis,nitazoxanide
Cryptosporidiosis,paromomycin
Cushing's Syndrome,dexamethasone
Cushing's Syndrome,cyproheptadine
Cushing's Syndrome,mifepristone
Cushing's Syndrome,corticorelin
Cushing's Syndrome,pasireotide
Merkel Cell Carcinoma,avelumab
Merkel Cell Carcinoma,pembrolizumab
Cutaneous Bacillus anthracis,doxycycline
Cutaneous Bacillus anthracis,ciprofloxacin
Cutaneous Bacillus anthracis,amoxicillin
Cutaneous Bacillus anthracis,penicillin g potassium
Cutaneous Bacillus anthracis,moxifloxacin
Cutaneous Bacillus anthracis,procaine penicillin
Cutaneous Fungal Infection,voriconazole
Leishmaniasis,allopurinol
Leishmaniasis,amphotericin b
Leishmaniasis,amphotericin b liposomal
Leishmaniasis,pentamidine
Leishmaniasis,miltefosine
Leishmaniasis,amphotericin b lipid complex
Cutaneous Mastocytosis,ranitidine
Cutaneous Mastocytosis,famotidine
Cutaneous Mastocytosis,cimetidine
Cutaneous Sporotrichosis,potassium iodide
Minor Cuts,pramoxine / zinc acetate
Minor Cuts,benzethonium chloride
Cyanide Poisoning,hydroxocobalamin
Cyanide Poisoning,sodium nitrite / sodium thiosulfate
Cyanide Poisoning,amyl nitrite
Cyanide Poisoning,sodium thiosulfate
Cyanide Poisoning,sodium nitrite
Cyclic Vomiting Syndrome,amitriptyline
Cyclic Vomiting Syndrome,nortriptyline
Cyclic Vomiting Syndrome,sumatriptan
Cyclic Vomiting Syndrome,zolmitriptan
Cyclitis,loteprednol
Cyclitis,dexamethasone
Cyclitis,loteprednol / tobramycin
Cyclothymic Disorder,lamotrigine
Cyclothymic Disorder,divalproex sodium
Cyclothymic Disorder,oxcarbazepine
Cyclothymic Disorder,lithium
Cyclothymic Disorder,carbamazepine
Cystic Fibrosis,azithromycin
Cystic Fibrosis,tobramycin
Cystic Fibrosis,dornase alfa
Cystic Fibrosis,pancrelipase
Cystic Fibrosis,vitamin e
Cystic Fibrosis,ivacaftor
Cystic Fibrosis,amikacin
Cystic Fibrosis,aztreonam
Cystic Fibrosis,gentamicin
Cystic Fibrosis,ivacaftor / lumacaftor
Cysticercus cellulosae,albendazole
Cysticercus cellulosae,praziquantel
Cystinuria,captopril
Cystinuria,tiopronin
Cystinuria,penicillamine
Prevention of Bladder infection (Cystitis Prophylaxis),nitrofurantoin
Prevention of Bladder infection (Cystitis Prophylaxis),methenamine
Prevention of Bladder infection (Cystitis Prophylaxis),trimethoprim
Prevention of Bladder infection (Cystitis Prophylaxis),sulfamethoxazole / trimethoprim
Cystourethrography,iohexol
Dandruff,ketoconazole
Dandruff,pyrithione zinc
Dandruff,salicylic acid / sulfur
Dandruff,selenium sulfide
Dandruff,salicylic acid
Narcolepsy,modafinil
Narcolepsy,methylphenidate
Narcolepsy,dextroamphetamine
Narcolepsy,amphetamine / dextroamphetamine
Narcolepsy,armodafinil
Narcolepsy,amphetamine
Narcolepsy,desvenlafaxine
Narcolepsy,sodium oxybate
Narcolepsy,ephedrine
Narcolepsy,lisdexamfetamine
Narcolepsy,solriamfetol
Synovitis,prednisone
Synovitis,dexamethasone
Synovitis,triamcinolone
Deep Neck Infection,clindamycin
Deep Neck Infection,metronidazole
Deep Neck Infection,ampicillin / sulbactam
Deep Neck Infection,cilastatin / imipenem
Deep Neck Infection,piperacillin / tazobactam
Deep Neck Infection,cefoxitin
Deep Neck Infection,penicillin g potassium
Deep Neck Infection,penicillin g sodium
Deep Vein Thrombosis Prophylaxis after Abdominal Surgery,enoxaparin
Deep Vein Thrombosis Prophylaxis after Abdominal Surgery,dalteparin
Deep Vein Thrombosis Prophylaxis after Abdominal Surgery,fondaparinux
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,warfarin
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,enoxaparin
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,rivaroxaban
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,apixaban
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,fondaparinux
Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery,dalteparin
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,warfarin
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,enoxaparin
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,apixaban
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,rivaroxaban
Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,fondaparinux
Deep Vein Thrombosis Prophylaxis after Orthopedic Surgery,dalteparin
"Deep Vein Thrombosis, First Event",warfarin
"Deep Vein Thrombosis, Prophylaxis",enoxaparin
"Deep Vein Thrombosis, Prophylaxis",heparin
"Deep Vein Thrombosis, Prophylaxis",rivaroxaban
"Deep Vein Thrombosis, Prophylaxis",apixaban
"Deep Vein Thrombosis, Prophylaxis",fondaparinux
"Deep Vein Thrombosis, Prophylaxis",dalteparin
"Deep Vein Thrombosis, Prophylaxis",dabigatran
"Deep Vein Thrombosis, Prophylaxis",desirudin
"Deep Vein Thrombosis, Recurrent Event",warfarin
"Deep Vein Thrombosis, Recurrent Event",rivaroxaban
Deep Vein Thrombosis/Pulmonary Embolism Prophylaxis Following Hip Replacement Surgery,dabigatran
Dehydration,lvp solution
Gastroparesis,metoclopramide
"Delayed Puberty, Male",testosterone
"Delayed Puberty, Male",methyltestosterone
"Delayed Puberty, Male",fluoxymesterone
Paranoid Disorder,risperidone
Paranoid Disorder,quetiapine
Paranoid Disorder,olanzapine
Paranoid Disorder,clozapine
Paranoid Disorder,ziprasidone
Lewy Body Dementia,donepezil
Lewy Body Dementia,rivastigmine
Herpetic Keratitis,trifluridine
Herpetic Keratitis,acyclovir
Dengue Fever,acetaminophen
Oral and Dental Conditions,benzocaine
Oral and Dental Conditions,hydrogen peroxide
Dental Abscess,amoxicillin
Dental Abscess,metronidazole
Dental Abscess,clarithromycin
Dental Abscess,erythromycin
Toothache,ibuprofen
Depression,bupropion
Depression,sertraline
Depression,citalopram
Depression,fluoxetine
Depression,escitalopram
Depression,venlafaxine
Depression,duloxetine
Depression,trazodone
Depression,mirtazapine
Depression,paroxetine
Neurotic Depression,amitriptyline
